Time,Name,Color,Mean_gray,Gray
0,mrfp1,red,155.51666666666665,"[155.1, 153.44, 158.01]"
0,NNN157D,purple,130.8216666666667,"[122.43, 143.41, 164.69, 96.06, 129.53, 128.81]"
5,mrfp1,red,155.60666666666663,"[155.68, 153.07, 158.07]"
5,NNN157D,purple,130.44833333333335,"[121.98, 143.3, 163.9, 95.01, 129.72, 128.78]"
10,mrfp1,red,155.24,"[155.2, 152.68, 157.84]"
10,NNN157D,purple,130.295,"[121.91, 143.79, 164.31, 93.15, 130.25, 128.36]"
15,mrfp1,red,155.73666666666665,"[155.51, 153.63, 158.07]"
15,NNN157D,purple,130.83166666666668,"[121.96, 144.29, 164.29, 96.27, 129.48, 128.7]"
20,mrfp1,red,155.60000000000002,"[155.34, 153.86, 157.6]"
20,NNN157D,purple,130.51166666666668,"[122.27, 143.85, 164.48, 94.49, 129.59, 128.39]"
25,mrfp1,red,155.31333333333333,"[154.75, 153.31, 157.88]"
25,NNN157D,purple,129.88000000000002,"[120.65, 143.28, 163.76, 94.16, 129.32, 128.11]"
30,mrfp1,red,155.14,"[154.84, 152.94, 157.64]"
30,NNN157D,purple,129.93500000000003,"[121.63, 143.05, 163.4, 94.35, 128.58, 128.6]"
35,mrfp1,red,155.69,"[155.43, 153.5, 158.14]"
35,NNN157D,purple,129.69833333333335,"[121.2, 143.54, 163.32, 93.7, 128.58, 127.85]"
40,NNN157D,purple,130.07166666666666,"[121.88, 143.48, 163.69, 94.11, 129.47, 127.8]"
40,mrfp1,red,155.26333333333335,"[155.13, 153.1, 157.56]"
45,mrfp1,red,155.54999999999998,"[154.76, 153.63, 158.26]"
45,NNN157D,purple,129.32833333333332,"[120.94, 143.47, 163.23, 92.94, 127.78, 127.61]"
50,mrfp1,red,154.96333333333334,"[154.08, 153.17, 157.64]"
50,NNN157D,purple,129.47,"[120.39, 143.54, 163.38, 93.29, 128.36, 127.86]"
55,mrfp1,red,155.00666666666666,"[154.47, 152.82, 157.73]"
55,NNN157D,purple,129.0716666666667,"[120.54, 142.75, 162.96, 93.46, 127.6, 127.12]"
60,NNN157D,purple,128.43166666666664,"[119.88, 142.07, 163.01, 93.12, 126.41, 126.1]"
60,mrfp1,red,154.86,"[154.46, 152.51, 157.61]"
65,mrfp1,red,154.09333333333333,"[153.8, 151.95, 156.53]"
65,NNN157D,purple,128.13,"[119.79, 142.1, 162.21, 93.25, 126.11, 125.32]"
70,mrfp1,red,154.22,"[154.22, 151.92, 156.52]"
70,NNN157D,purple,128.15166666666667,"[119.07, 142.61, 162.68, 92.97, 125.75, 125.83]"
75,mrfp1,red,153.48333333333332,"[153.12, 151.88, 155.45]"
75,NNN157D,purple,127.4,"[118.75, 141.27, 162.3, 91.84, 124.7, 125.54]"
80,NNN157D,purple,127.46666666666668,"[118.81, 141.81, 161.75, 93.03, 124.57, 124.83]"
80,mrfp1,red,153.18999999999997,"[152.77, 150.88, 155.92]"
85,NNN157D,purple,126.93666666666668,"[118.71, 141.28, 162.23, 91.74, 123.32, 124.34]"
85,mrfp1,red,152.29666666666665,"[152.16, 150.28, 154.45]"
90,mrfp1,red,152.51666666666668,"[152.65, 150.33, 154.57]"
90,NNN157D,purple,126.16833333333334,"[117.28, 141.12, 161.85, 90.83, 122.88, 123.05]"
95,mrfp1,red,151.96333333333334,"[151.81, 149.89, 154.19]"
95,NNN157D,purple,125.48,"[117.06, 140.53, 161.64, 90.04, 121.69, 121.92]"
100,mrfp1,red,151.17,"[150.71, 149.41, 153.39]"
100,NNN157D,purple,125.29,"[116.39, 139.8, 161.89, 89.71, 121.48, 122.47]"
105,mrfp1,red,150.78,"[150.65, 148.69, 153.0]"
105,NNN157D,purple,124.97833333333334,"[116.19, 139.81, 161.81, 89.77, 120.82, 121.47]"
110,NNN157D,purple,124.67166666666668,"[114.99, 139.54, 161.84, 88.98, 120.75, 121.93]"
110,mrfp1,red,150.91,"[150.62, 148.99, 153.12]"
115,mrfp1,red,150.21333333333334,"[149.54, 148.49, 152.61]"
115,NNN157D,purple,124.35833333333336,"[115.25, 139.48, 162.12, 88.88, 119.23, 121.19]"
120,mrfp1,red,150.57333333333335,"[150.16, 148.1, 153.46]"
120,NNN157D,purple,125.15833333333336,"[116.96, 139.89, 162.45, 90.23, 119.95, 121.47]"
125,mrfp1,red,155.14333333333337,"[154.23, 153.46, 157.74]"
125,NNN157D,purple,129.44,"[121.04, 144.12, 165.48, 93.49, 125.37, 127.14]"
130,NNN157D,purple,125.04166666666669,"[116.31, 140.55, 162.71, 90.35, 118.99, 121.34]"
130,mrfp1,red,150.47,"[149.53, 148.72, 153.16]"
135,mrfp1,red,150.35333333333335,"[149.91, 148.44, 152.71]"
135,NNN157D,purple,124.62666666666668,"[115.52, 140.23, 162.56, 89.96, 118.74, 120.75]"
140,mrfp1,red,150.32666666666668,"[149.42, 148.41, 153.15]"
140,NNN157D,purple,124.74333333333334,"[115.38, 139.82, 163.68, 89.28, 118.98, 121.32]"
145,mrfp1,red,149.82666666666668,"[149.87, 147.44, 152.17]"
145,NNN157D,purple,123.65000000000002,"[113.76, 139.73, 163.33, 87.67, 117.12, 120.29]"
150,mrfp1,red,149.90666666666667,"[149.38, 147.62, 152.72]"
150,NNN157D,purple,124.525,"[115.16, 140.37, 162.87, 90.43, 118.7, 119.62]"
