name, mean, conf_in
MRFP1_1, 1.0, [0.7666666666666667, 1.2909090909090912]
ac_blue_3, 1.838095238095238, [1.3514047619047622, 2.373333333333333]
ac_blue_2, 2.5217054263565895, [1.3387403100775193, 4.582170542635659]
ac_blue_1, 1.4413333333333334, [1.0759999999999998, 1.8053666666666661]
Amilcp_3, 1.38, [1.006633333333333, 1.7720333333333331]
Amilcp_2, 2.2833333333333337, [1.0217948717948717, 4.2679807692307685]
TS_purple_3, 1.5333333333333334, [1.070798611111111, 2.0652777777777778]
TS_purple_2, 3.587096774193548, [1.449435483870968, 6.584032258064514]
TS_purple_1, 4.916161616161616, [1.948459595959596, 8.613181818181818]
ACSR_3, 1.7072916666666669, [1.2468750000000002, 2.2135416666666665]
Amilcp_1, 2.6731182795698927, [0.7946236559139785, 5.232258064516129]
ACSR_1, 1.1622222222222223, [0.9233333333333333, 1.3933333333333333]
ACSR_2, 1.3463768115942027, [0.9579710144927536, 1.7724999999999995]
MRFP1_3, 1.6222222222222225, [1.0555555555555556, 2.3703703703703702]
MRFPK_1, 1.1055555555555556, [0.6962962962962964, 1.572268518518518]
MRFPK_2, 1.4773333333333332, [1.0919999999999999, 1.897333333333333]
MRFP1_2, 1.3904761904761906, [0.9603174603174603, 1.896825396825397]
amog_lime_1, 1.2425925925925927, [0.7759259259259259, 1.7666666666666666]
amog_lime_2, 1.4833333333333334, [1.0242424242424242, 1.9757575757575758]
amog_lime_3, 1.8936507936507936, [1.3332936507936508, 2.468253968253968]
MRFPK_3, 1.1210526315789473, [0.743859649122807, 1.5736842105263158]
